"","05-15","05-16","05-17","05-18","05-19","05-20","05-21","05-22","05-23","05-24","05-25","05-26","05-27","05-28","05-29","05-30","05-31","06-01","06-02","06-03","06-04","06-05","06-06","06-07","06-08","06-09","06-10","06-11","06-12","06-13","06-14","06-15","06-16","06-17","06-18","06-19","06-20","06-21","06-22","06-23","06-24","06-25","06-26","06-27","06-28","06-29"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
