"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"94",0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,6,5,3,3,0,2,3,8,1,2,1,1,6,7,5,6,6,2,3,5,11,10,10,7,6,8,10,7,8,17,10
"95",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,1,7,0,4,6,3,9,1,4,6,8,11,12,7,10,9,5,8,7,9,21,15,7,14,12,13,9
"96",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"97",0,0,0,0,0,0,3,0,2,1,5,1,4,4,0,5,2,0,2,0,2,4,2,2,1,3,3,2,3,3,1,2,10,6,4,4,6,5,10,7,3,13,5,11,14,7,12,10,15
"98",0,0,0,0,0,0,0,1,0,4,0,0,1,0,2,2,5,1,5,0,5,2,1,0,1,0,3,2,6,7,4,4,4,5,0,9,5,4,12,4,4,9,10,10,13,16,10,11,4
"99",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
"100",0,0,0,4,0,1,0,0,0,0,1,6,0,0,1,3,2,1,3,5,2,1,0,0,4,5,2,2,3,0,8,3,3,7,3,5,15,6,0,11,7,10,2,9,16,10,14,6,15
"101",0,0,0,0,0,1,2,0,0,0,1,3,0,0,0,3,0,2,0,3,3,5,0,1,1,2,1,5,8,7,8,4,2,3,11,2,13,9,11,7,5,19,13,7,10,5,11,7,11
"102",0,0,0,0,0,0,0,0,1,0,1,3,1,3,1,2,3,2,6,3,2,6,1,2,1,3,2,8,3,2,2,5,5,1,10,3,7,3,8,7,9,8,5,5,6,20,3,8,5
"103",0,2,1,0,3,0,0,0,4,4,1,1,2,0,4,1,2,0,0,3,2,1,2,5,3,1,2,4,3,3,2,4,10,6,6,9,4,10,10,9,13,8,2,1,6,8,1,3,12
"104",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,3,6,3,2,3,4,2,1,5,6,9,11,8,6,6,2,8,7,9,6,8,13,15,13,15,8,12,8,15,2,10
"105",0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,1,3,3,1,0,3,6,4,5,3,5,5,3,2,1,7,3,13,14,5,6,6,7,7,10,11,15,10,8,9,14
"106",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,1,2,1,2,3,2,0,4,5,7,12,5,2,10,8,11,0,2,13,2,8,15,6,12,13,9,8,9,13
"107",0,0,0,0,0,2,0,0,2,2,0,2,3,5,1,0,2,5,1,0,2,5,3,2,3,2,1,1,2,5,1,4,5,6,8,5,10,1,4,10,15,1,7,10,14,4,6,7,19
"108",0,0,2,0,2,1,0,0,0,1,5,1,0,1,3,2,0,3,6,2,1,0,0,2,6,2,0,2,3,3,6,3,8,5,2,4,15,0,9,7,7,5,10,11,9,12,12,14,10
"109",0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,1,3,3,1,0,3,6,4,5,3,5,5,3,2,1,7,3,13,14,5,6,6,7,7,10,11,15,10,8,9,14
"110",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"111",0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,6,1,0,3,2,0,2,3,2,4,5,5,1,4,7,8,8,5,9,4,10,10,13,8,7,10,10,7,3,16,15,9,8,15
"112",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,0,2,4,2,1,6,4,5,3,10,15,0,3,8,6,6,0,10,10,8,11,11,7,8,5,10,14
"113",0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,2,0,7,3,0,0,7,1,1,0,3,0,5,3,1,9,5,5,3,4,9,4,1,13,7,6,7,9,12,9,16,11,6,9
"114",0,0,0,2,0,3,0,0,0,0,0,0,1,4,2,0,0,1,5,2,2,2,4,6,1,0,2,1,9,1,4,1,1,7,7,10,7,9,5,8,8,10,7,11,8,13,5,7,7
